Month,Value,Prior to 2000
January,5.25,0
February,2.86,0
March,2.95,0
April,3.45,0
May,3.57,0
June,3.47,0
July,3.56,0
August,4.29,0
September,4.7,0
October,5.1,0
November,3.97,0
December,3.6,0
January,3.31,0
February,3.53,0
March,3.69,0
April,3.44,0
May,3.3,0
June,3.75,0
July,2.9,0
August,2.52,0
September,3.48,0
October,3.12,0
November,2.55,0
December,3.05,0
January,2.85,0
February,2.54,0
March,3.14,0
April,3.47,0
May,3.53,0
June,3.61,0
July,3.92,0
August,4.35,0
September,3.53,0
October,4.2,0
November,3.38,0
December,3.5,0
January,4.08,1
February,4,1
March,4.31,1
April,4.62,1
May,6.75,1
June,6.48,1
July,5.56,1
August,7.05,1
September,7.52,1
October,6.43,1
November,9.28,1
December,15.43,1
January,8.53,1
February,7.65,1
March,7.78,1
April,6.85,1
May,5.37,1
June,4.19,1
July,4.78,1
August,3.1,1
September,2.59,1
October,4.42,1
November,2.64,1
December,3.48,1
January,3.3,1
February,3.59,1
March,4.56,1
April,5.2,1
May,4.49,1
June,4.56,1
July,4.29,1
August,4.42,1
September,5.79,1
October,6.2,1
November,5.92,1
December,6.5,1
January,7.87,1
February,15.12,1
March,6.97,1
April,7.32,1
May,8.36,1
June,7.4,1
July,6.45,1
August,6.75,1
September,6.44,1
October,5.51,1
November,6.75,1
December,8.01,1
January,8.02,1
February,7.25,1
March,7.7,1
April,7.91,1
May,8.74,1
June,8.14,1
July,8.15,1
August,6.81,1
September,8.58,1
October,8.63,1
November,9.11,1
December,8.1,1
January,8.25,1
February,8.84,1
March,9.88,1
April,8.74,1
May,8.32,1
June,9.23,1
July,10.17,1
August,16.55,1
September,19.11,1
October,15.66,1
November,15.2,1
December,12.4,1
January,11.28,1
February,8.62,1
March,8.95,1
April,8.44,1
May,7.55,1
June,7.37,1
July,10.12,1
August,7.28,1
September,4.62,1
October,8.43,1
November,10.57,1
December,6.98,1
January,9.82,1
February,9.1,1
March,9.35,1
April,9.55,1
May,9.61,1
June,7.87,1
July,8.03,1
August,6.76,1
September,7.56,1
October,8.93,1
November,8.89,1
December,8.67,1
January,9.83,1
February,11.01,1
March,11.83,1
April,12.89,1
May,13.51,1
June,15.45,1
July,10.78,1
August,9.63,1
September,8.4,1
October,7.31,1
November,7.75,1
December,6.86,1
January,5.79,1
February,4.88,1
March,4.31,1
April,3.9,1
May,4.7,1
June,4.42,1
July,3.97,1
August,2.87,1
September,3.85,1
October,4.87,1
November,5.22,1
December,6.9,1
January,6.22,1
February,5.63,1
March,4.63,1
April,4.63,1
May,5.06,1
June,5.32,1
July,5.65,1
August,4.46,1
September,4.52,1
October,3.93,1
November,4.87,1
December,4.93,1
January,5.14,1
February,4.55,1
March,4.95,1
April,5.14,1
May,5.25,1
June,4.86,1
July,4.83,1
August,4.49,1
September,4.15,1
October,4.14,1
November,4,1
December,3.38,1
January,2.84,1
February,2.75,1
March,2.23,1
April,2.34,1
May,2.61,1
June,3.06,1
July,3.58,1
August,3.02,1
September,3.41,1
October,3.87,1
November,3.85,1
December,3.83,1
January,3.7,1
February,3.84,1
March,4.43,1
April,4.74,1
May,4.42,1
June,3.92,1
July,3.8,1
August,3.91,1
September,3.81,1
October,3.92,1
November,4.25,1
December,4.74,1
January,5.52,1
February,5.24,1
March,4.86,1
April,5.17,1
May,4.84,1
June,4.72,1
July,4.06,1
August,4.35,1
September,4.45,1
October,4.12,1
November,4.67,1
December,3.43,1
January,3.16,1
February,3.04,1
March,2.88,1
April,2.77,1
May,2.99,1
June,3,1
July,2.96,1
August,2.9,1
September,2.66,1
October,2.13,1
November,2.28,1
December,2.47,1
January,2.46,1
February,1.75,1
March,2.13,1
April,2.02,1
May,2.26,1
June,3.13,1
July,3.16,1
August,3.14,1
September,3.01,1
October,3.02,1
November,3.52,1
December,3.94,1
January,3.17,1
February,2.67,1
March,3.29,1
April,3.35,1
May,3.19,1
June,3.12,1
July,3,1
August,3.05,1
September,3.05,1
October,2.95,1
November,3.18,1
December,3.83,1
January,3.45,1
February,2.74,1
March,2.88,1
April,2.81,1
May,2.99,1
June,3.01,1
July,2.87,1
August,3.03,1
September,3.06,1
October,3.35,1
November,4.68,1
December,3.32,1
January,2.87,1
February,2.93,1
March,2.75,1
April,2.6,1
May,2.59,1
June,2.42,1
July,2.33,1
