Hole Depth,Hook Load,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma at Bit,Rate Of Penetration
6834,135.8,50,5.098,15.1,492.9,125,5.13
6835,134.9,50,3.038,1.6,0,106.62,17.19
6836,133.3,50,3.671,6.8,111.6,117.64,98.44
6837,130.5,50,3.697,7.6,121.4,132.35,100.18
6838,129.5,50,3.633,14.9,218.7,121.32,99.41
6839,132.6,50,3.442,9.4,116.2,113.97,140.77
6840,130.2,50,3.798,10.9,168,125,144.99
6841,128.5,50,4.836,26.5,385.9,132.35,144.64
6842,129.4,50,3.854,12.2,259.1,110.29,117.51
6843,126.1,50,4.581,13.7,250.9,117.64,142.36
6844,128.4,50,4.548,15,261.7,143.38,95.31
6845,128.4,50,3.948,14.3,259,113.97,90.13
6846,130.7,50,4.566,19.8,333.1,125,103.33
6847,129.7,50,4.147,13.1,203,125,136.93
6848,128.6,50,4.341,13.7,251.7,99.26,135.26
6849,128.3,50,4.873,15.2,268.6,113.97,108.71
6850,127.5,50,6.915,16.7,352.4,106.62,88.51
6851,125.5,50,5.96,15.4,276,117.64,62.76
6852,130.2,50,8.597,16.1,282,128.67,56.92
6853,131.6,50,4.252,13.5,274.8,117.64,142.7
6854,132.2,51,9.054,13.6,282.8,121.32,142.87
6855,133.5,50,4.791,12.3,156.7,106.62,150.81
6856,132.1,50,6.312,18.3,153.5,106.62,146.69
6857,132.9,50,4.289,5.8,101.7,106.62,149.44
6858,133.7,50,4.727,4.8,39.3,121.32,150.83
6859,133.5,50,4.754,10.6,78,110.29,150.66
6860,133.7,50,5.683,12.2,141.2,128.67,149.55
6861,133.3,50,4.353,12.8,152.2,125,148.26
6862,134.3,50,4.319,9.1,92.8,125,149.66
6863,134.8,50,4.469,2,21.9,106.62,150.61
6864,134.9,50,4.312,7.4,101,106.62,150.11
6865,132.8,50,5.016,14.5,223.9,125,194.1
6866,131.4,50,6.054,14.3,267.9,125,184.79
6867,130.1,50,4.27,17,293.5,117.64,175.04
6868,130.4,50,4.967,14.5,246.5,113.97,188.3
6869,130,50,5.166,13.6,199.3,102.94,185.07
6870,131.7,50,3.484,3.3,20.8,125,23.99
