Hole Depth,Hook Load,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma at Bit,Rate Of Penetration
6524,117.5,29,6.702,15.6,370.6,134.12,34.29
6525,116.9,29,4.345,10.2,202.9,136.47,34.04
6526,112.5,29,5.151,10.2,359,134.12,34.17
6527,113.1,29,5.016,9.4,332.6,138.82,34.48
6528,110.8,29,5.51,10.6,343.7,141.18,34.31
6529,110.3,29,4.96,11.1,382.2,136.47,34.86
6530,109.9,29,5.626,13.2,366.3,141.18,39.2
6531,107.3,29,5.709,13.8,363.3,141.18,39.12
6532,107.2,29,5.679,13.9,397.7,141.18,39.16
6533,107.2,29,5.477,13.6,364.7,141.18,39.21
6534,107.2,29,5.75,13.9,405,138.82,38.96
6535,107.6,29,6.93,13.8,436.7,143.53,39.23
6536,108.9,29,6.439,12.8,447.3,138.82,39.03
6537,108.1,29,6.593,13,383,131.76,38.99
6538,108,29,5.803,13,351.3,141.18,39.1
6539,108.2,29,5.282,13,344.1,141.18,39.18
6540,111,29,6.833,13.4,378.8,141.18,39.35
6541,111.8,29,6.893,12.7,348.7,138.82,39.16
6542,113.8,29,5.952,8.7,263.4,134.12,39.08
6543,113.5,29,5.263,7.9,265.1,129.41,38.86
6544,114.5,29,4.96,7,239.9,138.82,39.39
6545,114.3,29,5.432,8.1,265.6,138.82,38.79
6546,114.2,29,5.533,7,247.9,141.18,39.07
6547,117.8,29,4.96,7.5,224.8,143.53,39.28
6548,117.1,29,4.858,7.3,270.4,141.18,39.05
6549,113.6,29,5.349,8.2,270,131.76,38.86
6550,124.6,29,4.315,9.3,264.3,136.47,37.77
6551,118.3,29,4.885,10.1,265.3,138.82,38.4
6552,118,29,5.008,10.1,325.6,136.47,38.44
6553,118.4,29,4.847,9.8,302.9,131.76,38.46
6554,118.5,29,4.975,9.7,300.7,134.12,38.31
6555,118.7,29,5.031,12.9,294.4,134.12,38.46
6556,115.1,29,5.162,14,322.4,131.76,38.03
6557,118.5,29,4.697,13.2,325.3,141.18,38.45
6558,119,29,4.57,9.6,289.1,145.88,38.42
6559,118.4,29,4.784,10.1,289,136.47,38.35
6560,118.7,29,5.308,10.4,302,131.76,38.44
